Game,Region,Emulator,Playability,Resolution,Renderer,Notes,Media Links,Tested by,Date Tested:
Spider-Man 2,ALL,AetherSX2,Playable,1x,Vulkan,"Mostly 50-60, but when a lot of NPCs are on screen, performance dips a bit. There are a lot of visual glitches during cutscenes of the city in widescreen mode (less so in 4:3). 2x is also playable, but the dips hit much harder.",,VenomAI,12-30-22
Spider-Man 2,PAL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate 75%, EE Cycle Skip 2. Stays at 95%-100% with occasional dips during combat sequences",https://www.youtube.com/watch?v=CyGJL9WrcQQ,The Gaming Geek Net,03-16-23
Spiderman Web of Shadows,NTSC-U,AetherSX2,Great,1x,Vulkan,Plays great without tweaks. I have not upscaled it but you probably can. Looks good at 1x.,,Galvy,12-19-22
Splashdown,PAL,AetherSX2,Bad,1x,Vulkan,"Unplayable, very slow and missing most of the graphics (black) when I tried. single fps. Maybe there is some way to make it run?",,Benedict,12-12-22
SpongeBob SquarePants: Battle for Bikini Bottom,ALL,AetherSX2,Perfect,1x,Vulkan,"Runs great, little stutter in the transition screens but the actual gameplay is flawless",,Anonymous,03-21-23
Spyro a Hero's Tail,ALL,AetherSX2,Perfect,1.25x,Vulkan,"EE Cycle Rate = 75%. Runs at full speed with very minor slow downs. It could be perfectly playable up to 2x resolution, but recommend keep in 1.25x. ",,Anonymous,01-31-23
SSX 3,PAL,AetherSX2,Great,1.5x,Vulkan,PAL. Hardware Download Mode: Unsynchronized. EE Cycle Skip: 2. Runs 100%.,,GongStar,12-30-22
SSX On Tour,PAL,AetherSX2,Perfect,1x,Vulkan,"No Underclock, runs perfect!",,Retro Game Corps,11-30-22
SSX Tricky,PAL,AetherSX2,Great,1x,Vulkan,"EE Cycle Skip 1, Hardware Download Mode: Disable Readbacks.",https://www.youtube.com/watch?v=uWC4V1XLXyQ,The Gaming Geek Net,01-27-23
Star Ocean - Till the End of Time,NTSC-U,AetherSX2,Great,1x,Vulkan,"EE Cycle Rate: 180%, EE Cycle Skip: 3, Multi-Threaded VU1: Enabled, Threaded Presentation: Enabled
Note: Status screen runs at 50% speed regardless of settings used, all sub-menus from the status screen run at 100% however. This has no effect on gameplay. 60fps 100% without slowdown with these settings!",,BigSludge,12-31-22
Star Wars - Battlefront II ,PAL,AetherSX2,Great,1.5x,Vulkan,"EE Cycle Rate: -2. Runs mostly 100% with some dips here and there. Only tried the training stage but with allies and enemies all around me, shooting and exploding, the performance kept up.",,GongStar,03-14-23
Star Wars - Episode III - Revenge of the Sith,NTSC-U,AetherSX2,Perfect,1x,OpenGL,Great performance with OpenGL on Optimal Settings.,,LemonyFlavor,01-28-23
Star Wars - Starfighter,NTSC-U,AetherSX2,Great,1x,Vulkan,Works well with moderate underclock,https://www.youtube.com/watch?v=6IF3_8HTeKY,Retro Game Corps,11-30-22
Star Wars - The Force Unleashed,NTSC-U,AetherSX2,Great,1.75x,Vulkan,"EE Cycle Rate 0. EE Cycle Skip 2. Runs at 60FPS and 100% with very minor slow downs. If it slows too much, lower upscale to 1.5-1.25x",Game video posted on Retroid Discord,Galvy,11-30-22
State of Emergency,NTSC-U,AetherSX2,Great,1x,Vulkan,Full speed on Optimal Settings.,,LemonyFlavor,01-28-23
Stella Deus,PAL,AetherSX2,Perfect,1x,OpenGL,Runs Great! The game only framedips on the cgi and when the narrator is speaking(after battles). The dialogue and gameplay is full speed.,,Igor Silva,11-23-22
Stuart Little 3 - Big Photo Adventure ,ALL,AetherSX2,Perfect,1x,Vulkan,"Plays great, only EE CYCLE is at 130%",,Anonymous,03-21-23
Suikoden III,NTSC-U,AetherSX2,Great,1x,Vulkan,"Settings (Underclock: -1) - Runs fine for most of the time, but you will see a framedip (50-60 fps) from time to time outside of battle. Runs fine on battle.",https://www.youtube.com/watch?v=kt1zoEhRsdE,Igor Silva,11-26-22
Suikoden IV,PAL,AetherSX2,Perfect,1x,OpenGL,Runs Great,,Igor Silva,11-09-22
Suikoden Tactics,PAL,AetherSX2,Perfect,1x,OpenGL,Runs Great,,Igor Silva,11-22-22
Suikoden V,PAL,AetherSX2,Great,1x,OpenGL,Runs fine on battle and outside of it with few dips,,Igor Silva,11-26-22
Super Bust-A-Move,NTSC-U,AetherSX2,Perfect,1x,Vulkan,"No underclock, runs perfect!",,Retro Game Corps,11-08-22
Super Dragon Ball Z,NTSC-U,AetherSX2,Playable,1x,Vulkan,Has quite a few dips but ultimately is pretty playable.,,Jetup13,11-22-22
Super Robot Taisen OG Gaiden,ALL,AetherSX2,Great,1x,Vulkan,"EE loop skip -1, full speed with a few minor dips. Performance was also confirmed to be nearly identical to the video by another person.",https://www.youtube.com/watch?v=oZfrU6qmxV8,Retroid Youtube + six dorra fiddy cent,11-22-22
Syphon Filter: The Omega Strain,PAL,AetherSX2,Playable,1x,Vulkan,EE Cycle Skip 1. Occasional dips in some busy areas.,https://www.youtube.com/watch?v=pgGu8HAlMvg,The Gaming Geek Net,07-29-23
Tales of Destiny: Directors Cut,ALL,AetherSX2,Playable,1x,,"In-Game runs great, Menu is slow ",,six dorra fiddy cent,11-22-22
Tales of Legendia,ALL,AetherSX2,Great,1x,Vulkan,Runs 100%. There may be some stutters here and there. Allegedly there is an annoying blur reported by a user so take this writeup with a grain of salt.,,"GongStar

J-Alfred-Band",03-21-23
Tales of the Abyss,PAL,AetherSX2,Perfect,1x,Vulkan,Runs perfect! First 45 minutes of the game apparently tested.,,ArlenB,11-30-22
Teenage Mutant Ninja Turtles,ALL,AetherSX2,Perfect,1.5x,Vulkan,"EE loop skip -2, full speed",https://www.youtube.com/watch?v=2b1YKV4zK1M,Retroid Youtube,
Tekken 4 ,PAL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate 130%, EE Cycle Skip 1, Hardware Download Mode Disable Readbacks",https://www.youtube.com/watch?v=EwP91Hzon7s,The Gaming Geek Net,01-06-23
Tekken 5,NTSC-U,AetherSX2,Great,1x,,Runs Full Speed! PAL version may be recommended in case theres frame dips in some stages as you dont want that in a fighting game.,https://www.youtube.com/watch?v=CzZIDDKb8yk,Team Pandory,11-16-22
Tekken 5,PAL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Skip 1. 100% game speed except in the final battle. Devil Within is not playable, doesn't hit 100% speed.",https://www.youtube.com/watch?v=XNnwSNqGVhU,The Gaming Geek Net,06-16-23
Tekken Tag Tournament,NTSC-U,AetherSX2,Bad,1x,,60% speed overall with settings changed,https://www.youtube.com/watch?v=CzZIDDKb8yk,Team Pandory,11-16-22
Tenchu - Fatal Shadows,PAL,AetherSX2,Great,1x,OpenGL,Runs Great. Only slows down in the cgi and during the preview video before missions. The gameplay runs full speed.,,Igor Silva,11-25-22
Tenchu 3,PS2,AetherSX2,Great,1x,OpenGL,Runs Great. Only slows down in the cgi and during the preview video before missions. The gameplay runs full speed.,,Igor Silva,11-26-22
Terminator 3 Redemption,NTSC-U,AetherSX2,Great,1.75x,Vulkan,"EE cyele Rate -3, EE Cycle Skip 3. The game runs at 60fps and 100% speed. Very minor dips at times. You can undercolc less if you lower the upscale. You can play with 1.5x with EEcycles both on 1.",,Galvy,12-14-22
The Bouncer,PAL,AetherSX2,Great,1x,OpenGL,"Runs 100% most of the time, there can be some dips here and there. I tried bumping up the resolution to 1.5x but there was no way to make it fully smooth. Playing with underlock makes the numbers go 100% but that is an illusion, the game still runs slowed down in certain places at 1.5x.",,GongStar,03-12-23
The Legend of Spyro - Dawn of the Dragon,NTSC-U,AetherSX2,Perfect,1x,OpenGL,Runs at full speed in 1x resolution with default settings.,,,
The Legend of Spyro - The Eternal Night,ALL,AetherSX2,Great,1.5x,OpenGL,"It runs at full speed and in general works very well even at 1.5x resolution. Using OpenGL or Vulkan doesn't seem to make any difference. However there is a big graphical problem, a white bandage covers almost 1/3 of the screen (bottom portion) making the game very uncomfortable to play. Maybe this has an easy solution with some settings adjustments, but I have tried changing several things and couldn't get rid of that bandage. If anyone else was able to fix this please share the settings here. 

PS: I have also tried the Wii version and it works great with no problems.",,,
The Nightmare of Druaga: Fushigi no Dungeon,ALL,AetherSX2,Perfect,1x,Vulkan,"- No settings changed from default.
- Only first hour played.",,ThespianMask,12-30-22
The Operative: No One Lives Forever,PAL,AetherSX2,Perfect,2x,Vulkan,Runs 100%.,,GongStar,12-30-22
The Punisher,PAL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate -1, EE Cycle Skip 2. Generally plays well, but gets choppy in large areas (speed stays at 100% though).",https://www.youtube.com/watch?v=b0AwoWKS7O0,The Gaming Geek Net,07-10-23
The Sims,ALL,AetherSX2,Perfect,2x,Vulkan,"-50% underclock, Hardware Download Unsynchronized, CRC Fix Aggressive.",,Mike Hunny,03-21-23
The Sims 2,PAL,AetherSX2,Playable,1x,Vulkan,"Do the Sleep mode trick if intro is below 100% game speed (https://www.youtube.com/watch?v=c09JUOzWSo4). EE Cycle Rate -1, EE Cycle Skip 2. Set Audio sync to Async Mix. Frequent dips but not an issue in this type of game.",https://www.youtube.com/watch?v=N-0Qu3MKuxM,The Gaming Geek Net,02-14-23
The Suffering,NTSC-U,AetherSX2,Great,2x,Vulkan,"Safe settings as a base, Hardware Download Mode Unsynchronised, Threaded Presentation On, works fine up to 2x with FXAA.",,Mike22,12-30-22
The Suffering: Ties That Bind,PAL,AetherSX2,Great,1.5x,Vulkan,Runs 100%. Some dips here and there.,,GongStar,03-12-23
The Warriors,NTSC-U,AetherSX2,Perfect,1x,Vulkan,Plays basicly perfectly. No stutters. Use unsafe for best performace.,,Anonymous,12-30-22
Time Crisis 2,NTSC-U,AetherSX2,Great,1x,Vulkan,"Runs Great using EE: 0,3 - R1(Shoulder) to toggle View and Hide, 
and A(O) to Shoot, right analogue to aim.",,Anonymous,12-30-22
TimeSplitters,PAL,AetherSX2,Perfect,1.5x,Vulkan,Hardware Download Mode: Unsynchronized. Runs 100%.,,GongStar,12-30-22
Timesplitters 2,PAL,AetherSX2,Perfect,1x,Vulkan,"EE cycle rate - 2, runs full speed.",https://www.youtube.com/watch?v=OFBGg9E7Gzw,Mjolnirstone,11-26-22
TimeSplitters: Future Perfect,PAL,AetherSX2,Perfect,1.5x,Vulkan,"Hardware Download Mode: Unsynchronized. Runs 100%. Bilinear Filtering PS2 (corrects some rendering artifacts). No need for underclocking. Some effects, like the sun, can be seen through walls. Note: You will need to switch to Software Rendering when using in-game computers and screens or they will not work. ",,BigSludge & GongStar,12-30-22
Tom & Jerry War of The Whiskers,PAL,AetherSX2,Perfect,1x,Vulkan,PAL Version. Could use a higher res if you don't mind occasional dip. Runs good.,,ConnorD,03-21-23
Tom Clancy's Splinter Cell,PAL,AetherSX2,Great,1.5x,Vulkan,"PAL. Runs 100%, including night vision, without underclock at 1x. Runs 100%, including night vision, with underclock EE Cycle Rate: -1, EE Cycle Skip: 2, at 1.5x, but feels less smooth due to the cycle skip. I only checked the training mission at the start though, so it may vary, but it seems to me there should be a way to play this game well.",https://www.youtube.com/watch?v=ciui85qPq1o,GongStar,03-21-23
Tom Clancy's Splinter Cell - Chaos Theory,PAL,AetherSX2,Great,1.5x,Vulkan,"PAL. Runs mostly at 100%. You may require a mild underclock in places. 1.5x requires underclock EE Cycle Rate: -1, EE Cycle Skip: 1, but feels less smooth due to the cycle skip. Some stutters occured if I started shooting at enemies at both 1x or 1.5x.",,GongStar,03-21-23
Tom Clancy's Splinter Cell - Double Agent,PAL,AetherSX2,Great,1.5x,Vulkan,"PAL. EE Cycle Rate: -1, EE Cycle Skip: 1. Runs 100%. This game requires a mild underclock regardless of 1x or 1.5x resolution. Runs 40% without it but shoots up to 100% with it.",,GongStar,03-21-23
Tomb Raider: Anniversary ,PAL,AetherSX2,Perfect,2x,Vulkan,"Runs 100%. At the start on the snowy peak, it seems to run well.",,GongStar,12-30-22
Tomb Raider: Legend,PAL,AetherSX2,Perfect,2x,Vulkan,"Runs 100%. At the start on the rocky mountain side, it seems to run well.",,GongStar,12-30-22
Tomb Raider: The Angel of Darkness,PAL,AetherSX2,Perfect,2x,Vulkan,Runs 100%. I only played around the start in the back alley.,,GongStar,12-30-22
Tomb Raider: Underworld,PAL,AetherSX2,Playable,1.5x,Vulkan,"1.5x Res (you can even do 2x res, setting the res to anything 2x or below doesnt affect performance really), Fast Settings Used. EE Cycle Rate -2 (might need -3 for the opening). 

Game framerate will vary a lot but will still ultimately be 100% even with all the fire in the opening (it will feel a little sluggish and can go as low as 15fps on the native underclocked hardware), once you get past that point gameplay has been pretty good for the first few hours or so.",,FruitLoops,12-30-22
Tony Hawk Underground 2,PAL,AetherSX2,Playable,1.5x,Vulkan,"Probably fully playable at 1x, at 1.5x theres a few dips when Tony Hawk falls (according to Mjolnir) but it pretty much runs full speed no problem.",https://www.youtube.com/watch?v=OFBGg9E7Gzw,Mjolnirstone,11-27-22
Tony Hawk's Pro Skater 3,PAL,AetherSX2,Great,1.5x,Vulkan,"PAL. EE Cycle Skip: 1, Threaded presentation: On, Runs great with these minor tweaks, without them game mostly runs at 80% speed.",,pikqi,05-17-23
Tony Hawk's Pro Skater 4,NTSC-U,AetherSX2,Playable,1x,Vulkan,Fast Settings Turned On. Has some slowdowns.,,Jetup13,11-26-22
Tony Hawks American Wasteland,PAL,AetherSX2,Playable,1x,Vulkan,Pal Version.With Fast Setting Playable up to x1.25 res,,Chopsuey,03-21-23
Tony Hawks Underground,ALL,AetherSX2,Playable,1x,Vulkan,"Absolutly Playable with fast settings. Had some very few Game Crashes in the late game while starting, or after finishing a mission. Better save after every Miission.",,Chopsuey,
Tony XTreme Racer - Zero,NTSC-U,AetherSX2,Somewhat,1x,,FPS drops a bit when behind other racers and  Vulkan has a bunch of graphical glitches,,Jetup13,11-30-22
Transformers (Armada tie-in),ALL,AetherSX2,Bad,,,It does not matter what renderer is used or what settings you try. The game maxes out at 13% speed. Completely unplayable.,,Galvy,11-27-22
Tribes - Assault,NTSC-U,AetherSX2,Bad,1x,Vulkan,Major slowdown with enemies on up close,,Jetup13,
True Crime: New York City,PAL,AetherSX2,Playable,1x,Vulkan,"Do the Sleep mode trick if intro is below 100% game speed (https://www.youtube.com/watch?v=c09JUOzWSo4). EE Cycle Rate -1, EE Cycle Skip 2, Set Hardware Download Mode to Disable Readbacks.",https://www.youtube.com/watch?v=fTGqn4WDGe4,The Gaming Geek Net,02-15-23
Ultimate Spiderman,NTSC-U,AetherSX2,Great,1.5x,Vulkan,"EE Cycle Rate -2, EE Cycle Skip 2. Runs very well with very minor dips but not often",,Galvy,12-19-22
Urbz: Sims in the City,ALL,AetherSX2,Bad,1x,Vulkan,"Struggles to get past menus, in game runs between 40-60% game speed",,Anonymous ,03-21-23
V-Rally 3,PAL,AetherSX2,Bad,1x,Vulkan,PAL. Runs 60%ish. Adding an aggressive underclock will make the numbers go 100% but the slow down remains.,,GongStar,03-21-23
Valkyrie Profile 2 - Silmeria,NTSC-U,AetherSX2,Somewhat,1x,Vulkan,Add this cheat code. Open Game > Open Menu > Patch Codes > Add & Locate Patch > Enable Patch. Still has a few graphical errors and occasional slowdown. Needs more testing.,,Jetup13,12-14-22
Virtua Fighter 4 - Evolution,PAL,AetherSX2,Great,1.5x,Vulkan,"PAL. EE Cycle Rate: -1, EE Cycle Skip: 1. Runs 100% most of the time.",,GongStar,03-21-23
War of the Monsters,PAL,AetherSX2,Perfect,1.5x,Vulkan,PAL. Runs 100%.,,GongStar,03-21-23
Warriors Orochi,NTSC-U,AetherSX2,Great,1x,Vulkan,"USA. Runs at 100% 60 fps with occasional dips to 80-90% when the screen gets really busy. 
Use Roetaka's settings. No underclocking. OpenGL seems to run pretty similar to Vulkan.",,,05-17-23
Way of the Samurai,ALL,AetherSX2,Perfect,1x,Vulkan,"Runs 100%, no dips during a few playthroughs",,Scogin,03-21-23
Way of the Samurai 2,ALL,AetherSX2,Great,1x,Vulkan,"Runs 100% most of the time, dips to 60-70% temporarily when entering Otemon gate region, otherwise some dips when there is a lot of extra fighters",,Scogin,03-21-23
We Love Katamari,PAL,AetherSX2,Playable,2x,Vulkan,"PAL. EE Cycle Rate: -1, EE Cycle Skip: 2. Affinity Control Mode: VU > EE > GS. Runs 95-100%. When the ball starts to get larger and in certain scenes the game can dip down to 80-90% and perhaps worse in later levels, but adding Affinity Control Mode gives a little bit of extra performance. The underclock I don't think actually speeds up the game to 100% and all it does is remove the sound stutter, but it feels pretty smooth regardless, at least on the first stages. Also the resolution doesn't seem to matter as much, the dips are the same at 1x or 2x.",,GongStar,03-21-23
Wild Arm 4,ALL,AetherSX2,Somewhat,1x,Vulkan,Very slow at the opening and in game Menu. Have to switch to software rendering somtimes. Seems playable at the first chapter with fps around 40-50,,,03-21-23
Wild Arms 3,PAL,AetherSX2,Playable,1x,Vulkan,"Do the Sleep mode trick to reduce dips during cutscenes (https://www.youtube.com/watch?v=c09JUOzWSo4). EE Cycle Rate 2, EE Cycle Skip 2, Set Hardware Download Mode to Disable Readbacks and Audio Sync to Async Mix.",https://www.youtube.com/watch?v=j2r0Z63uK_Q,The Gaming Geek Net,02-20-23
Wild Arms 4,PAL,AetherSX2,Playable,1x,Vulkan,"Extreme performance mode. EE Cycle Rate 130%, EE Cycle Skip Mild. In Graphics settings, change Bilinear Filtering to Nearest Neighbor and Blending Accuracy to Minimum.
In Advanced, enable Hardware Fixes then enable Wild Arms fix. Generally stays at 100% and dips in battles, but tolerable as this uses a turn-based system.",https://www.youtube.com/watch?v=pVx9M8S6Yjc,The Gaming Geek Net,04-24-23
Wild Arms 5,PAL,AetherSX2,Playable,1x,Vulkan,"Extreme performance mode. Turn on Optimal defaults, enable Threaded presentation, set Audio Synchronization to Async Mix. There are slowdowns in battles but aren't noticeable. Cutscenes in sepia (flashbacks) run at around 80% game speed.",https://www.youtube.com/watch?v=P24prFcEdOM,The Gaming Geek Net,05-31-23
Wild Arms 5,NTSC-U,AetherSX2,Somewhat,1x,Vulkan,Can fps in battle to around 40-50 fps. Device gets warm,,Jetup13,12-15-22
Wipeout Fusion,PAL,AetherSX2,Bad,1x,Vulkan,Too slow no matter what settings are changed,,,12-13-22
Woody Woodpecker: Escape from Buzz Buzzard Park,ALL,AetherSX2,Perfect,1x,,Runs perfectly at full speed with default settings.,,Anonymous,03-21-23
WWE Here Comes the Pain,PS2,AetherSX2,Perfect,1x,,"Runs full speed with 0 Adjustments made to settings, even the Royal Rumble runs well! ",,Ric Flair,12-15-22
WWE Smackdown vs Raw 2008,ALL,AetherSX2,Somewhat,1x,Vulkan,"It goes well in the menus, but too slow in matches. ",,jeeanvictor,03-21-23
WWE Smackdown! Here Comes the Pain,PAL,AetherSX2,Great,1x,Vulkan,Plays great using the optimal default settings. May have minor graphical glitches during entrances.,https://www.youtube.com/watch?v=haFe-jL6hgk,The Gaming Geek Net,05-08-23
WWE Smackdown! Shut Your Mouth,NTSC-U,AetherSX2,Bad,1x,Vulkan,Lots of Slowdown,,Jetup13,11-29-22
WWE Smackdown! Shut Your Mouth,PAL,AetherSX2,Great,1x,Vulkan,"EE cycle rate 1 (130%), EE Cycle Skip -1. Runs great, with occasional dips during some of the more complicated entrances",https://www.youtube.com/watch?v=NemNym9llDI,The Gaming Geek Net,04-07-23
WWE: Smackdown vs Raw 2011,ALL,AetherSX2,Perfect,1.5x,Vulkan,"EE cycle rate -1, EE loop skip 2. Runs perfect!",https://www.youtube.com/watch?v=8wON3y5qpfA,Retroid Youtube,12-04-22
WWE: Smackdown! vs Raw 2006,PAL,AetherSX2,Playable,1x,Vulkan,"Extreme performance mode. EE Cycle Rate (-1) and EE Cycle Skip (1). Minor dips during entrances, plays at 100% speed with 4 wrestlers and below. At 5 wrestlers and up, game speed can go down to 80%.",https://www.youtube.com/watch?v=jTlq0XXFj5k,The Gaming Geek Net,05-25-23
X-Men: The Official Game,PAL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate 75%, EE Cycle Skip 1. Audio timing glitches in cutscenes.",https://www.youtube.com/watch?v=jjo50ZcnvuE,The Gaming Geek Net,07-29-23
Xenosaga Episode 1,NTSC-U,AetherSX2,Playable,1x,Vulkan,"Turn on fast settings. EE Cycle Rate 0, EE Cycle Skip -2. 

Prologue ran great, battles run great, overworld ran pretty much at full speed. All of this runs well at 1.25x but the cutscenes do have some genuinely annoying slowdown here and there (there are quite a lot of cutscenes) but its not super constant and the problem is more-so the lipsyncing being really off. However the cutscenes are skippable and they are still decently enjoyable but may be distracting to some.",,FruitLoops,12-16-22
XGIII ( Extreme G 3),NTSC-U,AetherSX2,Perfect,2x,Vulkan,Plays excellent! No Underclocking needed. Very minor slowdowns during corkscrews and climbs. You can try minor underclock or lower the upscale to see if it solves the very minor issue.,,Galvy,12-16-22
XIII,NTSC-U,AetherSX2,Perfect,1x,Vulkan,Great performance on Optimal Settings.,,LemonyFlavor,01-28-23
Yakuza,ALL,AetherSX2,Great,2x,Vulkan,"NTSC Version runs at full speed using Mjolnir Stone's settings. However, there are
minor dips when theres a ghosting effect on screen, (Defeating the final enemy/
cutscene). Mjolnir's Video: https://www.youtube.com/watch?v=BSinxfHeEWg",,Anonymous,03-21-23
Yu-Gi-Oh! Duelists of the Roses,NTSC-U,AetherSX2,Perfect,1.5x,Vulkan,Plays perfect!,,Yoona,12-16-22
Zone of the Enders,NTSC-U,AetherSX2,Playable,1.5x,Vulkan,"Plays great. System Settings> EE Cycle Rate 130% (1), EE Cycle Skip (2), Multi Threaded VU1, Instant VU1, Enable Frame Limit, Normal Speed 110%
Graphics> Vulkan, Upscale 1.5x, Bilinear Filtering (PS2), Texture Preloading Full (hash Cache), Hardware Download Mode Accurate, Apesct ratio 16:9 and Enbale Widescreen patches, Threaded Presentation, Async Texture loading
Audio> Sync Mode to Async Mix
Advanced Auto Flush Software",,Anonymous/Galvy,12-31-22
